lat,lon,Straßenname,Anzahl Fußgänger pro Tag,Anzahl Fahrradfahrer pro Tag,Durchschnittliche tägl. Verkehrsstärke unmotorisiert (DTV),Anzahl PKW pro Tag,"Anzahl schwere  LKW (> 3,5t) pro Tag","Anzahl leichte LKW (< 3,5t) pro Tag",Anzahl Motorräder pro Tag,Anzahl Busse pro Tag,Durchschnittliche tägl. Verkehrsstärke motorisiert (DTVm),Entsprechend Legende in der Karte (für uns zur Orientierung),NACHTS,pedestrian_night,bike_night,mean_unmotorized_night,car_night,truck_night,van_night,motorbike_night,bus_night,mean_motorized_night
52.52888,13.40953,Schönhauser Allee,29870.0,2934.0,32804.0,15258.0,402.0,1379.0,244.0,175.0,17458.0,15>20,,1493.5,29.34,1522.84,762.9,4.02,20.685,4.88,8.0,800.4849999999999
52.5294,13.41,Schönhauser Allee,29870.0,2934.0,32804.0,15258.0,402.0,1379.0,244.0,175.0,17458.0,15>20,,1493.5,29.34,1522.84,762.9,4.02,20.685,4.88,8.0,800.4849999999999
52.53,13.41047,Schönhauser Allee,29870.0,2934.0,32804.0,15258.0,402.0,1379.0,244.0,175.0,17458.0,15>20,,1493.5,29.34,1522.84,762.9,4.02,20.685,4.88,8.0,800.4849999999999
52.53047,13.41094,Schönhauser Allee,29870.0,2934.0,32804.0,15258.0,402.0,1379.0,244.0,175.0,17458.0,15>20,,1493.5,29.34,1522.84,762.9,4.02,20.685,4.88,8.0,800.4849999999999
52.53063,13.41107,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.53073,13.41125,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.5312,13.41206,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.53165,13.41227,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.53204,13.41232,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.53264,13.41266,Schönhauser Allee,23238.0,2778.0,26016.0,12729.0,396.0,1157.0,205.0,161.0,14648.0,10>15,,1161.9,27.78,1189.68,636.45,3.96,17.355,4.1,8.0,669.8650000000001
52.53282,13.41266,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53326,13.41283,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53394,13.41275,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53493,13.41253,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53608,13.41236,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53794,13.41227,Schönhauser Allee,32105.0,2989.0,35094.0,15606.0,392.0,1407.0,249.0,160.0,17814.0,15>20,,1605.25,29.89,1635.14,780.3,3.92,21.105,4.98,8.0,818.305
52.53807,13.41227,Schönhauser Allee,37905.0,3235.0,41140.0,18875.0,518.0,1704.0,302.0,173.0,21572.0,20>30,,1895.25,32.35,1927.6,943.75,5.18,25.56,6.04,8.0,988.5299999999999
52.53969,13.41223,Schönhauser Allee,37905.0,3235.0,41140.0,18875.0,518.0,1704.0,302.0,173.0,21572.0,20>30,,1895.25,32.35,1927.6,943.75,5.18,25.56,6.04,8.0,988.5299999999999
52.54109,13.4121,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54188,13.41215,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54297,13.41227,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54368,13.41232,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54449,13.41253,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.5453,13.41283,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54689,13.41318,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54767,13.41339,Schönhauser Allee,37905.0,3202.0,41107.0,18527.0,465.0,1669.0,296.0,169.0,21126.0,20>30,,1895.25,32.02,1927.27,926.35,4.65,25.035,5.92,8.0,969.9549999999999
52.54778,13.41343,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.54877,13.41361,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.55065,13.41391,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.55075,13.41395,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55143,13.41412,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55213,13.41425,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55289,13.41438,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
