lat;lon;streetname;pedestrian_night;bike_night;mean_unmotorized_night;car_night;truck_night;van_night;motorbike_night;bus_night;mean_motorized_night
52.529339;13.409928;Schönhauser Allee;1493.5;29.34;1522.84;762.9;4.02;20.685;4.88;8.0;800.4849999999999
52.530175;13.410636;Schönhauser Allee;1493.5;29.34;1522.84;762.9;4.02;20.685;4.88;8.0;800.4849999999999
52.530899;13.411473;Schönhauser Allee;1161.9;27.78;1189.68;636.45;3.96;17.355;4.1;8.0;669.8650000000001
52.53197;13.412363;Schönhauser Allee;1161.9;27.78;1189.68;636.45;3.96;17.355;4.1;8.0;669.8650000000001
52.534482;13.412631;Schönhauser Allee;1605.25;29.89;1635.14;780.3;3.92;21.105;4.98;8.0;818.305
52.536975;13.412299;Schönhauser Allee;1605.25;29.89;1635.14;780.3;3.92;21.105;4.98;8.0;818.305
52.539527;13.412181;Schönhauser Allee;1895.25;32.35;1927.6;943.75;5.18;25.56;6.04;8.0;988.5299999999999
52.541037;13.412138;Schönhauser Allee;1895.25;32.35;1927.6;943.75;5.18;25.56;6.04;8.0;988.5299999999999
52.541931;13.412159;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.542913;13.412242;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.543839;13.412371;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.544864;13.41265;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.545979;13.41294;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.547186;13.413262;Schönhauser Allee;1895.25;32.02;1927.27;926.35;4.65;25.035;5.92;8.0;969.9549999999999
52.548185;13.413508;Schönhauser Allee;1997.5;39.05;2036.55;1038.15;5.17;27.87;6.58;4.0;1081.77
52.549157;13.413648;Schönhauser Allee;1997.5;39.05;2036.55;1038.15;5.17;27.87;6.58;4.0;1081.77
52.550129;13.413819;Schönhauser Allee;1997.5;39.05;2036.55;1038.15;5.17;27.87;6.58;4.0;1081.77
52.551081;13.414013;Schönhauser Allee;1997.5;38.78;2036.28;1013.15;4.81;27.165;6.42;4.0;1055.545
52.551753;13.414131;Schönhauser Allee;1997.5;38.78;2036.28;1013.15;4.81;27.165;6.42;4.0;1055.545
52.55249;13.414281;Schönhauser Allee;1997.5;38.78;2036.28;1013.15;4.81;27.165;6.42;4.0;1055.545
52.553228;13.41442;Schönhauser Allee;1997.5;38.78;2036.28;1013.15;4.81;27.165;6.42;4.0;1055.545
52.554173;13.414702;Schönhauser Allee;1805.6;31.17;1836.77;876.8;4.59;22.74;4.0;8.0;916.13
52.527746;13.416394;Prenzlauer Allee;1917.15;36.42;1953.5700000000002;993.45;5.56;27.45;6.48;8.0;1040.94
52.529574;13.418143;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.531193;13.419484;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.532106;13.420031;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.532602;13.420332;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.533164;13.420643;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.534573;13.421512;Prenzlauer Allee;1899.25;34.55;1933.8;964.25;5.3;26.175;6.18;8.0;1009.9049999999999
52.536394;13.422563;Prenzlauer Allee;2149.9;43.68;2193.58;1121.2;6.41;30.375;7.18;8.0;1173.1650000000002
52.537503;13.42325;Prenzlauer Allee;2149.9;43.68;2193.58;1121.2;6.41;30.375;7.18;8.0;1173.1650000000002
52.538149;13.423615;Prenzlauer Allee;1726.8;31.26;1758.06;881.15;4.85;23.955;5.66;8.0;923.615
52.53875;13.423948;Prenzlauer Allee;1726.8;31.26;1758.06;881.15;4.85;23.955;5.66;8.0;923.615
52.539624;13.424473;Prenzlauer Allee;1726.8;31.26;1758.06;881.15;4.85;23.955;5.66;8.0;923.615
52.540401;13.424935;Prenzlauer Allee;1726.8;31.26;1758.06;881.15;4.85;23.955;5.66;8.0;923.615
52.541314;13.425471;Prenzlauer Allee;2126.7;43.68;2170.3799999999997;1121.2;6.41;30.375;7.18;8.0;1173.1650000000002
52.541836;13.425771;Prenzlauer Allee;2126.7;43.68;2170.3799999999997;1121.2;6.41;30.375;7.18;8.0;1173.1650000000002
52.542202;13.425986;Prenzlauer Allee;2126.7;43.68;2170.3799999999997;1121.2;6.41;30.375;7.18;8.0;1173.1650000000002
52.542613;13.426233;Prenzlauer Allee;2160.25;44.23;2204.48;1164.9;9.39;30.6;5.36;8.0;1218.25
52.543324;13.42664;Prenzlauer Allee;2160.25;44.23;2204.48;1164.9;9.39;30.6;5.36;8.0;1218.25
52.544407;13.427241;Prenzlauer Allee;2149.35;43.76;2193.11;1133.65;9.69;29.85;5.24;8.0;1186.43
52.545301;13.427617;Prenzlauer Allee;2149.35;43.76;2193.11;1133.65;9.69;29.85;5.24;8.0;1186.43
52.546195;13.427949;Prenzlauer Allee;2149.35;43.76;2193.11;1133.65;9.69;29.85;5.24;8.0;1186.43
52.547206;13.428357;Prenzlauer Allee;2156.25;43.01;2199.26;1113.5;8.2;30.375;7.18;8.0;1167.255
52.548537;13.428979;Prenzlauer Allee;2156.25;43.01;2199.26;1113.5;8.2;30.375;7.18;8.0;1167.255
52.550096;13.429677;Prenzlauer Allee;2199.35;44.1;2243.45;1163.65;8.57;31.74;7.5;8.0;1219.46
52.533575;13.404732;Kastanienallee;141.7;3.67;145.36999999999998;79.65;0.71;2.265;0.38;4.0;87.005
52.534847;13.405945;Kastanienallee;117.85;3.12;120.97;53.55;0.46;1.545;0.26;4.0;59.815
52.537171;13.408219;Kastanienallee;113.4;3.04;116.44000000000001;52.55;0.41;1.515;0.26;4.0;58.73499999999999
52.539702;13.410901;Kastanienallee;98.4;2.99;101.39;51.9;0.54;1.515;0.26;4.0;58.214999999999996
52.542469;13.413852;Pappelallee;643.7;17.98;661.6800000000001;333.35;5.52;8.88;2.24;4.0;353.99
52.544446;13.416019;Pappelallee;746.4;19.02;765.42;368.15;6.28;9.81;2.48;4.0;390.71999999999997
52.545712;13.417371;Pappelallee;746.4;19.02;765.42;368.15;6.28;9.81;2.48;4.0;390.71999999999997
52.547624;13.419463;Pappelallee;746.4;19.02;765.42;368.15;6.28;9.81;2.48;4.0;390.71999999999997
52.549411;13.421351;Stahlheimer Str.;315.6;8.44;324.04;162.6;1.56;4.335;0.76;4.0;173.255
52.550579;13.422601;Stahlheimer Str.;315.6;8.44;324.04;162.6;1.56;4.335;0.76;4.0;173.255
52.551805;13.423931;Stahlheimer Str.;315.6;8.44;324.04;162.6;1.56;4.335;0.76;4.0;173.255
52.540884;13.413331;Danziger Str.;1281.6;28.9;1310.5;671.5;4.6;18.18;4.3;4.0;702.5799999999999
52.540551;13.415434;Danziger Str.;1278.3;27.62;1305.9199999999998;639.15;4.38;17.31;4.08;4.0;668.92
52.540218;13.417526;Danziger Str.;1278.3;27.62;1305.9199999999998;639.15;4.38;17.31;4.08;4.0;668.92
52.53982;13.420123;Danziger Str.;1209.35;27.62;1236.9699999999998;639.15;4.38;17.31;4.08;4.0;668.92
52.539389;13.422869;Danziger Str.;1359.75;28.13;1387.88;661.9;4.23;17.88;4.22;4.0;692.23
52.538822;13.425348;Danziger Str.;1931.05;35.59;1966.6399999999999;979.8;6.72;26.535;6.28;4.0;1023.3349999999999
52.53811;13.427418;Danziger Str.;1970.9;35.78;2006.68;980.95;6.72;26.535;6.28;4.0;1024.4850000000001
52.536936;13.430809;Danziger Str.;1956.2;35.59;1991.79;979.8;6.72;26.535;6.28;4.0;1023.3349999999999
52.535807;13.433845;Danziger Str.;1897.9;34.01;1931.91;949.65;7.41;25.815;6.1;4.0;992.975
52.534821;13.435894;Danziger Str.;2125.85;40.72;2166.5699999999997;1046.05;8.66;28.5;6.74;4.0;1093.95
52.533757;13.438104;Danziger Str.;1897.55;39.99;1937.54;948.55;7.41;25.815;6.1;4.0;991.875
52.532772;13.440135;Danziger Str.;1855.25;39.86;1895.11;947.15;7.39;25.77;6.08;4.0;990.39
52.531675;13.441969;Danziger Str.;1846.2;39.38;1885.5800000000002;921.15;6.96;25.005;5.9;4.0;963.015
52.530794;13.442935;Danziger Str.;1846.2;39.38;1885.5800000000002;921.15;6.96;25.005;5.9;4.0;963.015
52.529952;13.443836;Danziger Str.;2082.85;40.11;2122.96;1056.25;7.98;28.68;6.78;4.0;1103.69
52.529019;13.444834;Danziger Str.;2082.85;40.11;2122.96;1056.25;7.98;28.68;6.78;4.0;1103.69
52.528164;13.445767;Danziger Str.;2082.85;40.11;2122.96;1055.05;7.98;28.68;6.78;4.0;1102.49
52.527093;13.446915;Danziger Str.;2082.85;40.11;2122.96;1055.05;7.98;28.68;6.78;4.0;1102.49
52.527348;13.388143;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.527831;13.390374;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.528268;13.392531;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.528771;13.394795;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.529214;13.396597;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.529534;13.399376;Torstr.;1944.6;34.3;1978.8999999999999;972.3;6.06;26.58;6.28;8.0;1019.2199999999999
52.529795;13.403624;Torstr.;2745.6;53.73;2799.33;1392.4;12.98;38.46;9.08;8.0;1460.92
52.529352;13.406328;Torstr.;2745.6;53.73;2799.33;1392.4;12.98;38.46;9.08;8.0;1460.92
52.529117;13.407701;Torstr.;2880.7;58.84;2939.54;1487.75;8.52;40.395;9.54;8.0;1554.205
52.528908;13.408849;Torstr.;2847.9;56.72;2904.62;1423.9;8.49;38.7;9.14;8.0;1488.2300000000002
52.528536;13.410823;Torstr.;2706.4;52.26;2758.6600000000003;1360.25;8.43;37.02;8.74;8.0;1422.44
52.527752;13.413806;Torstr.;2700.4;50.02;2750.42;1315.7;8.48;35.895;8.48;8.0;1376.555
52.526485;13.416592;Mollstr.;2210.05;43.98;2254.03;1155.35;15.07;33.075;7.82;8.0;1219.3149999999998
52.525728;13.418556;Mollstr.;2210.05;43.98;2254.03;1155.35;15.07;33.075;7.82;8.0;1219.3149999999998
52.524814;13.420809;Mollstr.;2992.05;60.15;3052.2000000000003;1601.95;14.08;43.89;10.38;8.0;1678.3000000000002
