number;lat;lon;lamp;name_lamp;picture;installed;bulb;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;height
42299-2110001-00;52.52722984;13.41602674;SIE*5NA630-1-6TZ*6NAV-E150;Siteco Mastleuchte 5NA 630;Nein;02.11.1993;NAV-T150* 4Y;150;168;32000;97;14500;-;15
42299-2110002-00;52.5274439;13.41637934;LBL*2NA150*EK;Leuchte der Firma Leuchtenbau Leipzig;Ja;01.01.1980;NAV-E150*SUPER 4Y;150;168;32000;112;17000;A+;16
42299-2110003-00;52.52758837;13.41593128;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110004-00;52.5277298;13.41661687;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110005-00;52.52787837;13.41617777;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110006-00;52.52795695;13.41683735;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110007-00;52.5280826;13.41635185;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110008-00;52.52814371;13.41699485;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110009-00;52.52827325;13.41656692;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110010-00;52.52832988;13.41714937;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110011-00;52.52849203;13.41680411;SIE*5NA377-2-2TZ3*2NAV-E150* SKL2;Siteco Mastleuchte 5NA 377;Ja;23.12.2003;NAV-E150*SUPER;150;168;32000;112;17000;A+;10
42299-2110012-00;52.5286004;13.41742837;SIE*SR100*NAV-T100/150*LU*SKL2;SITECO Mastleuchte SR 100;Ja;14.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110013-00;52.52871275;13.41701246;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110014-00;52.52886985;13.41764301;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110015-00;52.52900108;13.41734003;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110016-00;52.52909169;13.41792219;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110017-00;52.52921545;13.41756506;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110018-00;52.52927547;13.41814927;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110019-00;52.529403;13.41776282;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;24.07.1997;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;10
42299-2110020-00;52.52947749;13.41836569;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110021-00;52.5296059;13.41797304;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110022-00;52.52968825;13.4185546;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110023-00;52.52987409;13.41822168;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110024-00;52.52995352;13.41877234;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110025-00;52.53006083;13.41837183;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110026-00;52.53023669;13.41903678;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110027-00;52.53024291;13.41852603;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;9.5
42299-2110028-00;52.5304677;13.4192138;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110029-00;52.53046099;13.41871015;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;-;10700;A+;10
42299-2110030-00;52.53065179;13.41936752;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110031-00;52.53065269;13.41884652;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110032-00;52.53088532;13.41955788;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110033-00;52.53077593;13.41894523;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110034-00;52.53110864;13.41971296;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110035-00;52.5310412;13.41910906;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
