number;streetnumber;lat;lon;number;amount;lamp;name_lamp;picture;installed;bulb;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;height
42299-2110001-00;1;52.52722984;13.41602674;01;2;SIE*5NA630-1-6TZ*6NAV-E150;Siteco Mastleuchte 5NA 630;Nein;02.11.1993;NAV-T150* 4Y;150;168;32000;97;14500;n. a.;15
42299-2110002-00;;52.5274439;13.41637934;01;2;LBL*2NA150*EK;Leuchte der Firma Leuchtenbau Leipzig;Ja;01.01.1980;NAV-E150*SUPER 4 Y;150;168;32000;112;17000;A+;16
42299-2110003-00;1;52.52758837;13.41593128;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110004-00;;52.5277298;13.41661687;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110005-00;251A;52.52787837;13.41617777;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110006-00;;52.52795695;13.41683735;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110007-00;251;52.5280826;13.41635185;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110008-00;;52.52814371;13.41699485;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110009-00;249;52.52827325;13.41656692;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110010-00;;52.52832988;13.41714937;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110011-00;248;52.52849203;13.41680411;01;1;SIE*5NA377-2-2TZ3*2NAV-E150* SKL2;Siteco Mastleuchte 5NA 377;Ja;23.12.2003;NAV-E150*SUPER;150;168;32000;112;17000;A+;10
42299-2110012-00;;52.5286004;13.41742837;01;1;SIE*SR100*NAV-T100/150*LU*SKL2;SITECO Mastleucht SR 100;Ja;14.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110013-00;;52.52871275;13.41701246;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
