LS-Nr.;Hausnr.;S-Bahnring;lat;lon;number;amount;lamp;name_lamp;picture;installed;bulb;brand;name_bulb;comparison;color;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;switching;structural_system;height
42616-2110001-00;98;;52,55450227;13,41439669;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.94;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.04.94;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110002-00;92;;52,55444654;13,41497522;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;14 GN-EIN-20UHR-GN-AUS-20UHR-RED-EIN;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
;;;;;3;1;SIL*455-5-015-42*NAV-T150*M.VG;PLANSTRAHLERå¨ 400;Ja;17.07.06;NAV-T150;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;150 W;165 kWh/1000h;24000 h;100 lm/W;15000 lm;A+;01 GANZNACHT;;
42616-2110003-00;100-99;;52,55427533;13,41438305;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.94;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.04.94;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110004-00;91;;52,55420655;13,41492754;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110005-00;1;;52,55405056;13,41432148;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.94;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
